Product_ID,Category,Product_Name,Price_MYR,Store_Location
P0073,Contact Lens Solutions,VisionPlus Monthly Lens,57.15,Mydin USJ
P0074,Prescription Lenses,Photochromic Smart Lens,315.26,KIP Mall Desa Coalfields
P0075,Designer Frames,AeroFlex Frame,240.43,Mayang Mall Mercato
P0076,Professional Services,Frame Adjustment Service,38.98,Giant Jerteh
P0077,Luxury Sunglasses,Elite Polarized Shades,416.72,Lotus's Shah Alam
P0078,Prescription Lenses,Photochromic Smart Lens,148.18,Mydin Gong Badak
P0079,Professional Services,Frame Adjustment Service,82.54,Aeon Big Bukit Rimau
P0080,Prescription Lenses,Single Vision Lens,243.79,Aeon Big Wangsa Maju
P0081,Contact Lens Solutions,HydraSoft Daily Lens,41.96,Mydin Tunjong Kota Bharu
P0082,Luxury Sunglasses,AeroShade Sunglasses,158.25,Mydin Gong Badak
P0083,Prescription Lenses,High-Index Ultra Lens,181.07,Mydin Gong Badak
P0084,Contact Lens Solutions,ClearDay Daily Lens,124.01,SKS Larkin Junction Mall
P0085,Prescription Lenses,Single Vision Lens,279.11,Lotus's Shah Alam
P0086,Prescription Lenses,High-Index Ultra Lens,306.27,Mayang Mall Mercato
P0087,Luxury Sunglasses,UVShield Sunglasses,234.79,Giant Seri Kembangan
P0088,Professional Services,Frame Adjustment Service,82.32,Melawati Mall
P0089,Professional Services,Comprehensive Eye Exam,69.36,Mydin Gong Badak
P0090,Professional Services,Frame Adjustment Service,72.34,Lotus's Shah Alam
P0091,Professional Services,Personal Styling Consultation,90.04,Aeon Big Bukit Rimau
P0092,Luxury Sunglasses,AeroShade Sunglasses,246.7,Giant Kuantan
P0093,Contact Lens Solutions,HydraSoft Daily Lens,58.99,Giant Kuantan
P0094,Designer Frames,Classic Optical Frame,360.51,Mydin Kuala Terengganu
P0095,Contact Lens Solutions,Toric Precision Lens,110.52,Lotus's Bahau
P0096,Luxury Sunglasses,Vista SunPro,478.67,Lotus's Shah Alam
P0097,Prescription Lenses,Single Vision Lens,101.82,Mitsui Outlet Park
P0098,Designer Frames,Vista Titanium Frame,393.29,Lotus's Shah Alam
P0099,Professional Services,Frame Adjustment Service,95.11,Lotus's Desa Tebrau
P0100,Contact Lens Solutions,ClearDay Daily Lens,81.51,Lotus's Seberang Jaya
P0101,Prescription Lenses,Photochromic Smart Lens,291.24,Aeon Big Wangsa Maju
P0102,Professional Services,Personal Styling Consultation,50.89,KIP Mall Desa Coalfields
P0103,Luxury Sunglasses,UVShield Sunglasses,278.16,Giant Nilai
P0104,Professional Services,Vision Care Consultation,106.96,SKS Larkin Junction Mall
P0105,Luxury Sunglasses,PolarX Sunglasses,377.38,Mayang Mall Mercato
P0106,Luxury Sunglasses,PolarX Sunglasses,232.51,Mayang Mall Mercato
P0107,Prescription Lenses,Photochromic Smart Lens,129.2,Lotus's Desa Tebrau
P0108,Professional Services,Frame Adjustment Service,85.31,Mitsui Outlet Park
P0109,Prescription Lenses,Progressive OptiView Lens,241.2,Mydin Kuala Terengganu
P0110,Contact Lens Solutions,ClearDay Daily Lens,116.62,Giant Seri Kembangan
P0111,Professional Services,Comprehensive Eye Exam,72.0,SKS Larkin Junction Mall
P0112,Professional Services,Personal Styling Consultation,95.78,Mitsui Outlet Park
P0113,Luxury Sunglasses,Elite Polarized Shades,324.44,Toppen Shopping Centre
P0114,Prescription Lenses,Progressive OptiView Lens,119.73,Lotus's Mergong
P0115,Prescription Lenses,BlueGuard Digital Lens,254.69,Mydin Gong Badak
P0116,Designer Frames,Titan Edge Frame,234.15,Freeport A'Famosa Outlet
P0117,Professional Services,Contact Lens Fitting,96.36,Aeon Big Wangsa Maju
P0118,Prescription Lenses,High-Index Ultra Lens,203.88,Lotus's Seberang Jaya
P0119,Contact Lens Solutions,Toric Precision Lens,129.32,Mayang Mall Mercato
P0120,Prescription Lenses,Photochromic Smart Lens,346.96,Toppen Shopping Centre
P0121,Prescription Lenses,Single Vision Lens,115.92,Lalaport Outlet Bukit Bintang
P0122,Contact Lens Solutions,ClearDay Daily Lens,139.73,Freeport A'Famosa Outlet
P0123,Prescription Lenses,Progressive OptiView Lens,137.08,Mitsui Outlet Park
P0124,Luxury Sunglasses,UVShield Sunglasses,462.05,Mydin Jengka
P0125,Contact Lens Solutions,ClearDay Daily Lens,84.92,Lotus's Seberang Jaya
P0126,Prescription Lenses,Single Vision Lens,144.3,Mayang Mall Mercato
P0127,Professional Services,Contact Lens Fitting,31.66,KIP Mall Desa Coalfields
P0128,Prescription Lenses,High-Index Ultra Lens,268.23,Aeon Mall Kota Bharu
P0129,Prescription Lenses,Single Vision Lens,220.09,Mydin Tunjong Kota Bharu
P0130,Professional Services,Vision Care Consultation,34.28,Giant Nilai
P0131,Luxury Sunglasses,Elite Polarized Shades,495.83,Giant Jerteh
P0132,Professional Services,Frame Adjustment Service,43.01,Freeport A'Famosa Outlet
P0133,Contact Lens Solutions,Toric Precision Lens,89.91,Aeon Mall Nilai
P0134,Luxury Sunglasses,AeroShade Sunglasses,347.95,Lalaport Outlet Bukit Bintang
P0135,Professional Services,Personal Styling Consultation,116.33,Giant Plentong
P0136,Prescription Lenses,High-Index Ultra Lens,324.67,Paya Bunga Square
P0137,Designer Frames,Vista Titanium Frame,332.65,Aeon Big Bukit Rimau
P0138,Professional Services,Comprehensive Eye Exam,55.02,Aeon Big Bukit Rimau
P0139,Luxury Sunglasses,PolarX Sunglasses,387.13,Lotus's Mergong
P0140,Luxury Sunglasses,Vista SunPro,480.06,Aeon Big Wangsa Maju
P0141,Luxury Sunglasses,Elite Polarized Shades,406.67,Aeon Big Bukit Rimau
P0142,Professional Services,Comprehensive Eye Exam,87.49,Mydin Kuala Terengganu
P0143,Professional Services,Contact Lens Fitting,110.14,Giant Seri Kembangan
P0144,Prescription Lenses,Photochromic Smart Lens,196.75,Lotus's Kulai
P0145,Contact Lens Solutions,HydraSoft Daily Lens,87.3,SKS Larkin Junction Mall
P0146,Contact Lens Solutions,Toric Precision Lens,47.43,Lotus's Desa Tebrau
P0147,Designer Frames,Classic Optical Frame,137.82,Giant Plentong
P0148,Contact Lens Solutions,VisionPlus Monthly Lens,150.45,Giant Seri Kembangan
P0149,Professional Services,Vision Care Consultation,45.43,Giant Kuantan
P0150,Prescription Lenses,Single Vision Lens,104.35,Mydin Kuala Terengganu
P0151,Professional Services,Personal Styling Consultation,85.8,Aeon Big Bukit Rimau
P0152,Professional Services,Personal Styling Consultation,72.1,Mydin Gong Badak
P0153,Professional Services,Comprehensive Eye Exam,117.93,Mitsui Outlet Park
P0154,Designer Frames,Titan Edge Frame,247.81,Lalaport Outlet Bukit Bintang
P0155,Luxury Sunglasses,UVShield Sunglasses,344.05,Melawati Mall
P0156,Contact Lens Solutions,MultiFocus Comfort Lens,102.49,Lotus's Rimbayu
P0157,Professional Services,Vision Care Consultation,103.84,Toppen Shopping Centre
P0158,Luxury Sunglasses,UVShield Sunglasses,188.19,Giant Seri Kembangan
P0159,Contact Lens Solutions,HydraSoft Daily Lens,171.45,Lalaport Outlet Bukit Bintang
P0160,Luxury Sunglasses,Vista SunPro,159.63,Lalaport Outlet Bukit Bintang
P0161,Professional Services,Comprehensive Eye Exam,114.47,Aeon Mall Nilai
P0162,Luxury Sunglasses,Elite Polarized Shades,287.91,Giant Seri Kembangan
P0163,Designer Frames,AeroFlex Frame,137.12,Toppen Shopping Centre
P0164,Luxury Sunglasses,UVShield Sunglasses,484.79,Mydin Tunjong Kota Bharu
P0165,Professional Services,Vision Care Consultation,103.74,Lotus's Kulai
P0166,Contact Lens Solutions,Toric Precision Lens,150.63,Lalaport Bukit Bintang
P0167,Designer Frames,Vista Titanium Frame,258.52,Lotus's Desa Tebrau
P0168,Professional Services,Contact Lens Fitting,96.23,Lalaport Bukit Bintang
P0169,Luxury Sunglasses,Vista SunPro,362.7,Freeport A'Famosa Outlet
P0170,Designer Frames,Vista Titanium Frame,307.52,Aeon Big Bukit Rimau
P0171,Professional Services,Comprehensive Eye Exam,76.17,Giant Jerteh
P0172,Professional Services,Contact Lens Fitting,42.42,Lalaport Outlet Bukit Bintang
P0173,Luxury Sunglasses,Vista SunPro,368.91,Giant Seri Kembangan
P0174,Professional Services,Vision Care Consultation,104.14,Aeon Big Wangsa Maju
P0175,Prescription Lenses,Progressive OptiView Lens,226.03,Giant Nilai
P0176,Professional Services,Comprehensive Eye Exam,66.17,Lalaport Bukit Bintang
P0177,Luxury Sunglasses,Elite Polarized Shades,273.89,Lalaport Bukit Bintang
P0178,Prescription Lenses,High-Index Ultra Lens,263.62,Giant Plentong
P0179,Prescription Lenses,High-Index Ultra Lens,287.31,Lotus's Desa Tebrau
P0180,Designer Frames,AeroFlex Frame,404.69,Giant Jerteh
P0181,Luxury Sunglasses,PolarX Sunglasses,489.03,Lotus's Rimbayu
P0182,Professional Services,Personal Styling Consultation,67.44,Aeon Big Bukit Rimau
P0183,Designer Frames,Titan Edge Frame,293.18,Lalaport Bukit Bintang
P0184,Luxury Sunglasses,Vista SunPro,336.28,Giant Kuantan
P0185,Luxury Sunglasses,Elite Polarized Shades,207.58,Lotus's Shah Alam
P0186,Contact Lens Solutions,HydraSoft Daily Lens,179.54,Mydin Gong Badak
P0187,Designer Frames,Titan Edge Frame,274.39,Lalaport Outlet Bukit Bintang
P0188,Designer Frames,Classic Optical Frame,197.02,Melawati Mall
P0189,Professional Services,Frame Adjustment Service,94.41,Mydin USJ
P0190,Professional Services,Frame Adjustment Service,51.23,Lalaport Outlet Bukit Bintang
P0191,Designer Frames,Titan Edge Frame,203.65,Mydin Tunjong Kota Bharu
P0192,Professional Services,Contact Lens Fitting,57.28,Lotus's Rimbayu
P0193,Prescription Lenses,BlueGuard Digital Lens,319.47,Lalaport Outlet Bukit Bintang
P0194,Prescription Lenses,BlueGuard Digital Lens,165.64,Giant Seri Kembangan
P0195,Contact Lens Solutions,MultiFocus Comfort Lens,61.51,Toppen Shopping Centre
P0196,Professional Services,Personal Styling Consultation,57.51,Lotus's Desa Tebrau
P0197,Contact Lens Solutions,HydraSoft Daily Lens,117.16,Mydin Jengka
P0198,Contact Lens Solutions,MultiFocus Comfort Lens,47.31,Lotus's Rimbayu
P0199,Contact Lens Solutions,ClearDay Daily Lens,40.47,Freeport A'Famosa Outlet
P0200,Luxury Sunglasses,Vista SunPro,335.4,Lotus's Bahau
P0201,Luxury Sunglasses,Vista SunPro,416.92,Lotus's Kulai
P0202,Prescription Lenses,High-Index Ultra Lens,295.25,Lalaport Outlet Bukit Bintang
P0203,Luxury Sunglasses,PolarX Sunglasses,357.21,Aeon Big Wangsa Maju
P0204,Prescription Lenses,BlueGuard Digital Lens,304.74,Mayang Mall Mercato
P0205,Prescription Lenses,BlueGuard Digital Lens,273.13,Lotus's Seberang Jaya
P0206,Designer Frames,Urban Acetate Frame,422.73,Mydin Kuala Terengganu
P0207,Luxury Sunglasses,UVShield Sunglasses,214.93,Lotus's Shah Alam
P0208,Prescription Lenses,BlueGuard Digital Lens,185.22,SKS Larkin Junction Mall
P0209,Professional Services,Frame Adjustment Service,50.85,Mayang Mall Mercato
P0210,Contact Lens Solutions,HydraSoft Daily Lens,70.29,Lotus's Shah Alam
P0211,Professional Services,Contact Lens Fitting,66.8,Aeon Mall Kota Bharu
P0212,Prescription Lenses,Photochromic Smart Lens,162.7,Toppen Shopping Centre
P0213,Luxury Sunglasses,AeroShade Sunglasses,467.0,SKS Larkin Junction Mall
P0214,Prescription Lenses,BlueGuard Digital Lens,245.37,Mydin Kuala Terengganu
P0215,Prescription Lenses,BlueGuard Digital Lens,290.14,Melawati Mall
P0216,Prescription Lenses,Photochromic Smart Lens,96.06,Melawati Mall
P0217,Professional Services,Vision Care Consultation,68.8,KIP Mall Desa Coalfields
P0218,Luxury Sunglasses,PolarX Sunglasses,293.97,Mayang Mall Mercato
P0219,Prescription Lenses,BlueGuard Digital Lens,213.88,Lotus's Kulai
P0220,Designer Frames,Classic Optical Frame,282.3,Aeon Mall Nilai
P0221,Designer Frames,Vista Titanium Frame,308.91,Paya Bunga Square
P0222,Contact Lens Solutions,ClearDay Daily Lens,144.18,Lalaport Bukit Bintang
P0223,Contact Lens Solutions,MultiFocus Comfort Lens,156.51,Giant Nilai
P0224,Professional Services,Vision Care Consultation,77.58,Lotus's Seberang Jaya
P0225,Luxury Sunglasses,Vista SunPro,343.53,Giant Seri Kembangan
P0226,Contact Lens Solutions,ClearDay Daily Lens,152.77,KIP Mall Desa Coalfields
P0227,Contact Lens Solutions,HydraSoft Daily Lens,164.08,Lotus's Desa Tebrau
P0228,Contact Lens Solutions,ClearDay Daily Lens,67.07,Mydin Tunjong Kota Bharu
P0229,Designer Frames,Titan Edge Frame,189.77,Mydin Gong Badak
P0230,Prescription Lenses,High-Index Ultra Lens,252.49,Toppen Shopping Centre
P0231,Professional Services,Comprehensive Eye Exam,119.0,Aeon Big Wangsa Maju
P0232,Professional Services,Contact Lens Fitting,64.12,Lotus's Mergong
P0233,Luxury Sunglasses,PolarX Sunglasses,472.98,Lotus's Desa Tebrau
P0234,Professional Services,Frame Adjustment Service,105.91,Giant Kuantan
P0235,Professional Services,Personal Styling Consultation,48.67,Mydin Tunjong Kota Bharu
P0236,Contact Lens Solutions,VisionPlus Monthly Lens,135.54,Lotus's Seberang Jaya
P0237,Luxury Sunglasses,PolarX Sunglasses,239.89,Lalaport Outlet Bukit Bintang
P0238,Prescription Lenses,BlueGuard Digital Lens,93.16,Freeport A'Famosa Outlet
P0239,Luxury Sunglasses,Elite Polarized Shades,202.24,Lotus's Mergong
P0240,Contact Lens Solutions,ClearDay Daily Lens,143.45,Mydin USJ
P0241,Designer Frames,Titan Edge Frame,328.89,Mitsui Outlet Park
P0242,Prescription Lenses,Single Vision Lens,326.01,Lalaport Outlet Bukit Bintang
P0243,Prescription Lenses,Single Vision Lens,205.46,Giant Jerteh
P0244,Luxury Sunglasses,PolarX Sunglasses,232.6,Giant Plentong
P0245,Luxury Sunglasses,UVShield Sunglasses,474.18,Lalaport Bukit Bintang
P0246,Professional Services,Frame Adjustment Service,52.16,Lotus's Rimbayu
P0247,Prescription Lenses,Progressive OptiView Lens,129.6,Lotus's Seberang Jaya
P0248,Prescription Lenses,BlueGuard Digital Lens,237.89,Mitsui Outlet Park
P0249,Contact Lens Solutions,ClearDay Daily Lens,52.98,Giant Seri Kembangan
P0250,Professional Services,Frame Adjustment Service,53.43,Lotus's Mergong
P0251,Prescription Lenses,BlueGuard Digital Lens,91.15,Mayang Mall Mercato
P0252,Prescription Lenses,Progressive OptiView Lens,224.18,Giant Nilai
P0253,Designer Frames,Vista Titanium Frame,405.43,Giant Kuantan
P0254,Luxury Sunglasses,Vista SunPro,406.19,Mayang Mall Mercato
P0255,Designer Frames,Vista Titanium Frame,228.8,Lotus's Kulai
P0256,Contact Lens Solutions,ClearDay Daily Lens,40.05,Lotus's Mergong
P0257,Designer Frames,AeroFlex Frame,248.3,Giant Plentong
P0258,Professional Services,Personal Styling Consultation,62.42,Lotus's Kulai
P0259,Professional Services,Comprehensive Eye Exam,113.1,Paya Bunga Square
P0260,Prescription Lenses,BlueGuard Digital Lens,315.15,Lotus's Mergong
P0261,Designer Frames,Urban Acetate Frame,136.9,Lotus's Seberang Jaya
P0262,Contact Lens Solutions,VisionPlus Monthly Lens,107.21,Giant Kuantan
P0263,Luxury Sunglasses,Elite Polarized Shades,262.09,Aeon Mall Nilai
P0264,Contact Lens Solutions,Toric Precision Lens,151.52,SKS Larkin Junction Mall
P0265,Prescription Lenses,High-Index Ultra Lens,280.54,Lotus's Desa Tebrau
P0266,Designer Frames,Titan Edge Frame,139.65,Lalaport Outlet Bukit Bintang
P0267,Designer Frames,Urban Acetate Frame,198.75,Mydin Tunjong Kota Bharu
P0268,Designer Frames,Vista Titanium Frame,266.13,Mydin Kuala Terengganu
P0269,Designer Frames,Classic Optical Frame,307.55,Paya Bunga Square
P0270,Prescription Lenses,Progressive OptiView Lens,253.58,Lotus's Desa Tebrau
P0271,Prescription Lenses,Photochromic Smart Lens,309.49,Lotus's Bahau
P0272,Designer Frames,Vista Titanium Frame,137.24,Lalaport Outlet Bukit Bintang
P0273,Luxury Sunglasses,AeroShade Sunglasses,292.64,Giant Jerteh
P0274,Contact Lens Solutions,HydraSoft Daily Lens,100.44,Lotus's Shah Alam
P0275,Prescription Lenses,Single Vision Lens,160.1,Lalaport Bukit Bintang
P0276,Contact Lens Solutions,HydraSoft Daily Lens,170.97,Aeon Mall Kota Bharu
P0277,Contact Lens Solutions,HydraSoft Daily Lens,115.27,Paya Bunga Square
P0278,Luxury Sunglasses,Elite Polarized Shades,377.25,Mydin Tunjong Kota Bharu
P0279,Professional Services,Contact Lens Fitting,83.32,Mydin Jengka
P0280,Professional Services,Personal Styling Consultation,54.75,Lotus's Seberang Jaya
P0281,Prescription Lenses,Single Vision Lens,212.21,Melawati Mall
P0282,Professional Services,Comprehensive Eye Exam,63.64,Mayang Mall Mercato
P0283,Professional Services,Frame Adjustment Service,106.13,Mydin Tunjong Kota Bharu
P0284,Luxury Sunglasses,Vista SunPro,388.19,Lotus's Seberang Jaya
P0285,Professional Services,Frame Adjustment Service,70.54,Mydin USJ
P0286,Luxury Sunglasses,PolarX Sunglasses,457.55,Lotus's Mergong
P0287,Professional Services,Frame Adjustment Service,88.79,Mydin Jengka
P0288,Contact Lens Solutions,VisionPlus Monthly Lens,178.11,Mydin Kuala Terengganu
P0289,Designer Frames,Vista Titanium Frame,310.76,Lotus's Bahau
P0290,Professional Services,Vision Care Consultation,89.27,Lotus's Bahau
P0291,Contact Lens Solutions,Toric Precision Lens,59.47,SKS Larkin Junction Mall
P0292,Prescription Lenses,Progressive OptiView Lens,161.57,Mydin USJ
P0293,Designer Frames,Urban Acetate Frame,369.92,Giant Kuantan
P0294,Contact Lens Solutions,HydraSoft Daily Lens,174.47,Mydin Tunjong Kota Bharu
P0295,Luxury Sunglasses,UVShield Sunglasses,385.79,Lotus's Kulai
P0296,Luxury Sunglasses,AeroShade Sunglasses,195.17,Mydin Gong Badak
P0297,Professional Services,Personal Styling Consultation,93.33,Lotus's Rimbayu
P0298,Contact Lens Solutions,MultiFocus Comfort Lens,117.19,SKS Larkin Junction Mall
P0299,Contact Lens Solutions,VisionPlus Monthly Lens,42.47,Paya Bunga Square
P0300,Contact Lens Solutions,HydraSoft Daily Lens,64.29,Aeon Big Bukit Rimau
P0301,Professional Services,Personal Styling Consultation,42.45,Mitsui Outlet Park
P0302,Professional Services,Vision Care Consultation,105.24,Aeon Big Wangsa Maju
P0303,Prescription Lenses,BlueGuard Digital Lens,303.52,Aeon Mall Nilai
P0304,Prescription Lenses,Single Vision Lens,106.55,Lotus's Mergong
P0305,Contact Lens Solutions,ClearDay Daily Lens,138.35,Lotus's Seberang Jaya
P0306,Luxury Sunglasses,PolarX Sunglasses,400.5,Aeon Big Wangsa Maju
P0307,Designer Frames,Titan Edge Frame,366.3,Aeon Mall Nilai
P0308,Designer Frames,AeroFlex Frame,176.93,Melawati Mall
P0309,Designer Frames,Urban Acetate Frame,216.81,Mayang Mall Mercato
P0310,Prescription Lenses,Single Vision Lens,112.95,Lotus's Rimbayu
P0311,Contact Lens Solutions,Toric Precision Lens,99.56,Lotus's Rimbayu
P0312,Designer Frames,AeroFlex Frame,287.18,Lalaport Outlet Bukit Bintang
P0313,Contact Lens Solutions,Toric Precision Lens,167.61,Giant Seri Kembangan
P0314,Designer Frames,AeroFlex Frame,203.58,Mydin Kuala Terengganu
P0315,Designer Frames,Classic Optical Frame,213.52,Giant Kuantan
P0316,Prescription Lenses,High-Index Ultra Lens,90.7,Lotus's Seberang Jaya
P0317,Luxury Sunglasses,AeroShade Sunglasses,229.69,Giant Kuantan
P0318,Contact Lens Solutions,ClearDay Daily Lens,130.37,Paya Bunga Square
P0319,Designer Frames,AeroFlex Frame,135.29,Lotus's Desa Tebrau
P0320,Professional Services,Frame Adjustment Service,59.53,Lotus's Desa Tebrau
P0321,Contact Lens Solutions,ClearDay Daily Lens,92.4,Lotus's Mergong
P0322,Professional Services,Frame Adjustment Service,67.28,Paya Bunga Square
P0323,Designer Frames,AeroFlex Frame,126.93,Mydin Tunjong Kota Bharu
P0324,Contact Lens Solutions,Toric Precision Lens,50.52,Lotus's Kulai
P0325,Contact Lens Solutions,Toric Precision Lens,102.85,Mydin Kuala Terengganu
P0326,Luxury Sunglasses,PolarX Sunglasses,154.51,Mitsui Outlet Park
P0327,Professional Services,Vision Care Consultation,55.82,Mydin Tunjong Kota Bharu
P0328,Contact Lens Solutions,VisionPlus Monthly Lens,77.28,Mydin Jengka
P0329,Designer Frames,Titan Edge Frame,371.91,Aeon Big Wangsa Maju
P0330,Designer Frames,Urban Acetate Frame,223.74,SKS Larkin Junction Mall
P0331,Designer Frames,Classic Optical Frame,442.35,Mydin Tunjong Kota Bharu
P0332,Professional Services,Comprehensive Eye Exam,54.89,Mayang Mall Mercato
P0333,Professional Services,Personal Styling Consultation,105.37,Mydin Tunjong Kota Bharu
P0334,Professional Services,Contact Lens Fitting,106.25,Mitsui Outlet Park
P0335,Luxury Sunglasses,UVShield Sunglasses,239.4,Giant Nilai
P0336,Contact Lens Solutions,HydraSoft Daily Lens,170.91,Lotus's Seberang Jaya
P0337,Luxury Sunglasses,PolarX Sunglasses,241.01,Aeon Mall Kota Bharu
P0338,Professional Services,Contact Lens Fitting,93.85,Giant Seri Kembangan
P0339,Contact Lens Solutions,HydraSoft Daily Lens,135.84,Aeon Big Bukit Rimau
P0340,Contact Lens Solutions,HydraSoft Daily Lens,104.97,Freeport A'Famosa Outlet
P0341,Designer Frames,Vista Titanium Frame,354.44,Freeport A'Famosa Outlet
P0342,Contact Lens Solutions,Toric Precision Lens,164.0,Toppen Shopping Centre
P0343,Contact Lens Solutions,MultiFocus Comfort Lens,46.47,Aeon Mall Kota Bharu
P0344,Designer Frames,Urban Acetate Frame,199.39,Lotus's Kulai
