product_id,product_name,category,product_type,brand,price_myr,description,frame_material,frame_shape,frame_color,gender,uv_protection,polarized,lens_color,frame_style,lens_type,lens_feature,lens_duration,multifocal,store_location,city,stock_status,rating,bestseller,new_arrival
P0032,Oliver Peoples Premium Frame 32,Frames,Designer Frames,Gucci,635.96,Designer eyewear frame crafted with premium materials,titanium,square,tortoise,women,no,no,blue light filter clear,aviator,single vision,blue light protection,1 year,no,Aeon Mall Nilai,Nilai,low_stock,4.6,yes,no
P0033,Oliver Peoples Premium Frame 33,Frames,Designer Frames,Oakley,571.32,Designer eyewear frame crafted with premium materials,metal,cat-eye,gold,men,no,no,clear,round,plano,blue light protection,1 year,no,Melawati Mall,Kuala Lumpur,low_stock,4.6,yes,no
P0034,Bausch & Lomb Premium Frame 34,Frames,Designer Frames,Gucci,517.13,Designer eyewear frame crafted with premium materials,acetate,rectangle,brown,unisex,no,no,clear,square,progressive,anti-reflective coating,2 years,yes,Mitsui Outlet Park,Sepang,low_stock,4.4,yes,no
P0035,Cartier Premium Frame 35,Frames,Designer Frames,RayBan,633.5,Designer eyewear frame crafted with premium materials,titanium,cat-eye,tortoise,men,no,no,clear,oversized,plano,UV coating,2 years,no,Lalaport Bukit Bintang,Kuala Lumpur,low_stock,4.2,yes,yes
P0036,Saint Laurent Premium Frame 36,Frames,Designer Frames,Versace,891.16,Designer eyewear frame crafted with premium materials,titanium,round,silver,women,no,no,clear,oversized,plano,anti-reflective coating,1 year,no,Aeon Mall Nilai,Nilai,low_stock,4.4,yes,yes
P0037,Bottega Veneta Premium Frame 37,Frames,Designer Frames,Oliver Peoples,470.36,Designer eyewear frame crafted with premium materials,titanium,cat-eye,silver,men,no,no,clear,oversized,progressive,anti-reflective coating,1 year,yes,Aeon Mall Nilai,Nilai,in_stock,4.4,no,no
P0038,Acuvue Premium Frame 38,Frames,Designer Frames,Oliver Peoples,806.81,Designer eyewear frame crafted with premium materials,titanium,rectangle,gold,unisex,no,no,clear,round,bifocal,hydrophobic coating,1 year,yes,Mitsui Outlet Park,Sepang,low_stock,4.2,yes,no
P0039,Versace Premium Frame 39,Frames,Designer Frames,Dior,591.93,Designer eyewear frame crafted with premium materials,titanium,aviator,gold,women,no,no,clear,square,single vision,UV coating,1 year,no,Mitsui Outlet Park,Sepang,low_stock,4.8,yes,yes
P0040,Versace Premium Frame 40,Frames,Designer Frames,Gentle Monster,731.67,Designer eyewear frame crafted with premium materials,titanium,square,black,women,no,no,light tint,round,single vision,photochromic,2 years,no,Lalaport Bukit Bintang,Kuala Lumpur,low_stock,4.5,no,yes
P0041,Oliver Peoples Premium Frame 41,Frames,Designer Frames,Gentle Monster,847.66,Designer eyewear frame crafted with premium materials,titanium,round,brown,women,no,no,clear,round,plano,anti-reflective coating,1 year,no,Lalaport Bukit Bintang,Kuala Lumpur,in_stock,4.8,no,no
P0042,Bausch & Lomb Premium Frame 42,Frames,Designer Frames,Bausch & Lomb,789.93,Designer eyewear frame crafted with premium materials,acetate,rectangle,gold,women,no,no,anti-reflective clear,round,bifocal,anti-reflective + blue light,2 years,yes,Mitsui Outlet Park,Sepang,low_stock,4.0,no,no
P0043,Bossini Premium Frame 43,Frames,Designer Frames,Prada,889.4,Designer eyewear frame crafted with premium materials,titanium,round,silver,unisex,no,no,anti-reflective clear,aviator,single vision,blue light protection,2 years,no,Lalaport Bukit Bintang,Kuala Lumpur,in_stock,4.6,yes,no
P0044,Saint Laurent Premium Frame 44,Frames,Designer Frames,Dior,558.51,Designer eyewear frame crafted with premium materials,acetate,rectangle,tortoise,women,no,no,clear,round,progressive,anti-reflective coating,2 years,yes,Lalaport Bukit Bintang,Kuala Lumpur,low_stock,4.7,no,no
P0045,Projekt Produkt Premium Frame 45,Frames,Designer Frames,Gucci,761.96,Designer eyewear frame crafted with premium materials,acetate,aviator,gold,unisex,no,no,anti-reflective clear,aviator,progressive,anti-reflective + blue light,1 year,yes,Aeon Mall Nilai,Nilai,in_stock,4.7,yes,yes
P0046,Prada Premium Frame 46,Frames,Designer Frames,Versace,419.42,Designer eyewear frame crafted with premium materials,titanium,round,brown,men,no,no,anti-reflective clear,round,plano,photochromic,1 year,no,Aeon Mall Nilai,Nilai,low_stock,4.7,yes,yes
P0047,RayBan Premium Frame 47,Frames,Designer Frames,Bottega Veneta,668.28,Designer eyewear frame crafted with premium materials,metal,cat-eye,silver,women,no,no,clear,oversized,progressive,UV coating,2 years,yes,Lalaport Bukit Bintang,Kuala Lumpur,in_stock,4.5,yes,yes
P0048,Bottega Veneta Premium Frame 48,Frames,Designer Frames,Saint Laurent,540.96,Designer eyewear frame crafted with premium materials,metal,aviator,black,unisex,no,no,clear,square,single vision,photochromic,2 years,no,Melawati Mall,Kuala Lumpur,in_stock,4.8,no,yes
P0049,Persol Premium Frame 49,Frames,Designer Frames,Bossini,739.02,Designer eyewear frame crafted with premium materials,metal,square,brown,unisex,no,no,light tint,square,single vision,UV coating,1 year,no,Mitsui Outlet Park,Sepang,low_stock,4.4,no,no
P0050,Cartier Premium Frame 50,Frames,Designer Frames,Dior,834.9,Designer eyewear frame crafted with premium materials,acetate,rectangle,brown,unisex,no,no,clear,round,single vision,anti-reflective coating,2 years,no,Lalaport Bukit Bintang,Kuala Lumpur,low_stock,4.0,no,yes
P0051,Burberry Premium Frame 51,Frames,Designer Frames,Persol,788.81,Designer eyewear frame crafted with premium materials,metal,aviator,brown,unisex,no,no,clear,square,progressive,blue light protection,1 year,yes,Mitsui Outlet Park,Sepang,in_stock,4.5,yes,yes
P0052,Oliver Peoples Premium Frame 52,Frames,Designer Frames,Projekt Produkt,655.35,Designer eyewear frame crafted with premium materials,acetate,rectangle,silver,women,no,no,clear,aviator,plano,anti-reflective coating,2 years,no,Lalaport Bukit Bintang,Kuala Lumpur,in_stock,4.3,no,yes
P0053,Persol Premium Frame 53,Frames,Designer Frames,Projekt Produkt,654.41,Designer eyewear frame crafted with premium materials,metal,rectangle,brown,women,no,no,anti-reflective clear,square,progressive,blue light protection,1 year,yes,Melawati Mall,Kuala Lumpur,low_stock,4.2,no,yes
P0054,Burberry Premium Frame 54,Frames,Designer Frames,Oakley,415.76,Designer eyewear frame crafted with premium materials,titanium,square,gold,men,no,no,light tint,round,single vision,anti-reflective + blue light,1 year,no,Aeon Mall Nilai,Nilai,low_stock,4.7,no,yes
P0055,RayBan Premium Frame 55,Frames,Designer Frames,Versace,548.48,Designer eyewear frame crafted with premium materials,metal,round,brown,men,no,no,anti-reflective clear,square,single vision,anti-reflective coating,1 year,no,Lalaport Bukit Bintang,Kuala Lumpur,in_stock,4.9,no,yes
P0056,Bottega Veneta Premium Frame 56,Frames,Designer Frames,Gucci,665.74,Designer eyewear frame crafted with premium materials,metal,rectangle,silver,women,no,no,anti-reflective clear,oversized,bifocal,photochromic,1 year,yes,Mitsui Outlet Park,Sepang,in_stock,4.2,no,yes
P0057,Gentle Monster Premium Frame 57,Frames,Designer Frames,Projekt Produkt,390.75,Designer eyewear frame crafted with premium materials,titanium,round,gold,men,no,no,clear,square,plano,scratch-resistant,1 year,no,Aeon Mall Nilai,Nilai,in_stock,4.9,yes,no
P0058,Acuvue Premium Frame 58,Frames,Designer Frames,Gentle Monster,597.78,Designer eyewear frame crafted with premium materials,metal,aviator,brown,women,no,no,light tint,square,single vision,scratch-resistant,1 year,no,Lalaport Bukit Bintang,Kuala Lumpur,in_stock,4.5,yes,yes
P0059,Dior Premium Frame 59,Frames,Designer Frames,Cartier,436.38,Designer eyewear frame crafted with premium materials,acetate,cat-eye,black,men,no,no,clear,aviator,single vision,anti-reflective coating,1 year,no,Lalaport Bukit Bintang,Kuala Lumpur,low_stock,4.4,no,no
P0060,Versace Premium Frame 60,Frames,Designer Frames,RayBan,738.83,Designer eyewear frame crafted with premium materials,titanium,rectangle,black,unisex,no,no,clear,oversized,progressive,anti-reflective coating,2 years,yes,Aeon Mall Nilai,Nilai,low_stock,4.7,yes,no
P0061,Bausch & Lomb Premium Frame 61,Frames,Designer Frames,Versace,706.2,Designer eyewear frame crafted with premium materials,metal,square,black,men,no,no,light tint,oversized,single vision,hydrophobic coating,1 year,no,Aeon Mall Nilai,Nilai,low_stock,4.5,no,no
P0062,Bossini Premium Frame 62,Frames,Designer Frames,RayBan,734.85,Designer eyewear frame crafted with premium materials,metal,cat-eye,brown,women,no,no,clear,round,plano,UV coating,2 years,no,Aeon Mall Nilai,Nilai,in_stock,4.5,no,no
P0063,Gucci Premium Frame 63,Frames,Designer Frames,Cartier,475.91,Designer eyewear frame crafted with premium materials,titanium,cat-eye,brown,men,no,no,light tint,square,single vision,scratch-resistant,2 years,no,Melawati Mall,Kuala Lumpur,in_stock,4.7,yes,no
P0064,Dior Premium Frame 64,Frames,Designer Frames,Tom Ford,898.32,Designer eyewear frame crafted with premium materials,metal,rectangle,black,women,no,no,anti-reflective clear,square,single vision,anti-reflective + blue light,1 year,no,Mitsui Outlet Park,Sepang,low_stock,4.3,yes,yes
P0065,Oliver Peoples Premium Frame 65,Frames,Designer Frames,Projekt Produkt,508.52,Designer eyewear frame crafted with premium materials,metal,cat-eye,black,women,no,no,light tint,aviator,plano,scratch-resistant,1 year,no,Melawati Mall,Kuala Lumpur,low_stock,4.2,yes,no
P0066,Bausch & Lomb Premium Frame 66,Frames,Designer Frames,Bossini,577.29,Designer eyewear frame crafted with premium materials,acetate,cat-eye,tortoise,unisex,no,no,light tint,round,single vision,blue light protection,2 years,no,Aeon Mall Nilai,Nilai,low_stock,4.7,yes,no
P0067,RayBan Premium Frame 67,Frames,Designer Frames,Bossini,834.47,Designer eyewear frame crafted with premium materials,metal,round,black,unisex,no,no,light tint,oversized,single vision,photochromic,2 years,no,Lalaport Bukit Bintang,Kuala Lumpur,in_stock,4.3,yes,no
P0068,Versace Premium Frame 68,Frames,Designer Frames,Bottega Veneta,603.8,Designer eyewear frame crafted with premium materials,acetate,square,silver,unisex,no,no,clear,square,single vision,blue light protection,1 year,no,Aeon Mall Nilai,Nilai,low_stock,4.4,no,no
P0069,Bossini Premium Frame 69,Frames,Designer Frames,Bausch & Lomb,429.55,Designer eyewear frame crafted with premium materials,acetate,cat-eye,brown,unisex,no,no,clear,oversized,single vision,UV coating,2 years,no,Lalaport Bukit Bintang,Kuala Lumpur,in_stock,4.2,no,no
P0070,Gucci Premium Frame 70,Frames,Designer Frames,RayBan,749.33,Designer eyewear frame crafted with premium materials,titanium,cat-eye,silver,men,no,no,clear,round,single vision,hydrophobic coating,1 year,no,Melawati Mall,Kuala Lumpur,low_stock,4.3,no,no
P0071,Burberry Premium Frame 71,Frames,Designer Frames,Versace,664.49,Designer eyewear frame crafted with premium materials,acetate,rectangle,black,women,no,no,clear,round,single vision,photochromic,1 year,no,Melawati Mall,Kuala Lumpur,low_stock,4.3,yes,no
P0072,Prada Premium Frame 72,Frames,Designer Frames,Acuvue,880.94,Designer eyewear frame crafted with premium materials,metal,round,silver,men,no,no,clear,round,single vision,anti-reflective coating,2 years,no,Aeon Mall Nilai,Nilai,in_stock,4.7,no,yes
P0073,Projekt Produkt Premium Frame 73,Frames,Designer Frames,Dior,536.21,Designer eyewear frame crafted with premium materials,titanium,rectangle,black,women,no,no,anti-reflective clear,round,single vision,blue light protection,1 year,no,Aeon Mall Nilai,Nilai,low_stock,4.6,no,yes
P0074,Versace Premium Frame 74,Frames,Designer Frames,RayBan,898.58,Designer eyewear frame crafted with premium materials,titanium,round,silver,men,no,no,clear,aviator,progressive,hydrophobic coating,2 years,yes,Aeon Mall Nilai,Nilai,low_stock,4.1,no,yes
P0075,Oakley Premium Frame 75,Frames,Designer Frames,Saint Laurent,511.35,Designer eyewear frame crafted with premium materials,metal,rectangle,gold,men,no,no,clear,round,progressive,blue light protection,1 year,yes,Aeon Mall Nilai,Nilai,in_stock,4.2,yes,no
P0076,Projekt Produkt Premium Frame 76,Frames,Designer Frames,Prada,477.7,Designer eyewear frame crafted with premium materials,titanium,aviator,silver,women,no,no,clear,aviator,single vision,blue light protection,2 years,no,Lalaport Bukit Bintang,Kuala Lumpur,low_stock,4.8,yes,yes
P0077,Persol Premium Frame 77,Frames,Designer Frames,RayBan,701.42,Designer eyewear frame crafted with premium materials,metal,aviator,silver,women,no,no,clear,oversized,single vision,blue light protection,1 year,no,Mitsui Outlet Park,Sepang,low_stock,4.8,yes,yes
P0078,Persol Premium Frame 78,Frames,Designer Frames,RayBan,895.98,Designer eyewear frame crafted with premium materials,metal,round,silver,women,no,no,light tint,aviator,progressive,blue light protection,1 year,yes,Mitsui Outlet Park,Sepang,in_stock,4.8,no,no
P0079,Persol Premium Frame 79,Frames,Designer Frames,Versace,700.14,Designer eyewear frame crafted with premium materials,titanium,aviator,gold,unisex,no,no,light tint,aviator,plano,anti-reflective coating,1 year,no,Lalaport Bukit Bintang,Kuala Lumpur,in_stock,4.3,no,yes
P0080,Prada Premium Frame 80,Frames,Designer Frames,Cartier,850.3,Designer eyewear frame crafted with premium materials,metal,rectangle,gold,men,no,no,anti-reflective clear,oversized,plano,photochromic,1 year,no,Melawati Mall,Kuala Lumpur,low_stock,4.5,no,yes
P0081,Projekt Produkt Premium Frame 81,Frames,Designer Frames,RayBan,760.61,Designer eyewear frame crafted with premium materials,metal,round,silver,men,no,no,light tint,oversized,single vision,anti-reflective coating,2 years,no,Melawati Mall,Kuala Lumpur,in_stock,4.8,no,no
P0082,Gentle Monster Premium Frame 82,Frames,Designer Frames,Gucci,495.45,Designer eyewear frame crafted with premium materials,acetate,rectangle,tortoise,unisex,no,no,clear,square,single vision,blue light protection,1 year,no,Aeon Mall Nilai,Nilai,low_stock,4.7,no,yes
P0083,Projekt Produkt Premium Frame 83,Frames,Designer Frames,Gucci,690.75,Designer eyewear frame crafted with premium materials,titanium,aviator,brown,men,no,no,anti-reflective clear,aviator,single vision,blue light protection,1 year,no,Lalaport Bukit Bintang,Kuala Lumpur,low_stock,4.8,no,no
P0084,Prada Premium Frame 84,Frames,Designer Frames,Saint Laurent,870.44,Designer eyewear frame crafted with premium materials,metal,rectangle,black,men,no,no,clear,oversized,single vision,anti-reflective coating,1 year,no,Aeon Mall Nilai,Nilai,in_stock,4.3,no,no
P0085,Oliver Peoples Premium Frame 85,Frames,Designer Frames,Bottega Veneta,808.53,Designer eyewear frame crafted with premium materials,titanium,rectangle,tortoise,men,no,no,clear,square,progressive,blue light protection,1 year,yes,Lalaport Bukit Bintang,Kuala Lumpur,in_stock,4.4,yes,no
P0086,Persol Premium Frame 86,Frames,Designer Frames,Bausch & Lomb,845.93,Designer eyewear frame crafted with premium materials,titanium,aviator,black,women,no,no,clear,square,single vision,UV coating,2 years,no,Aeon Mall Nilai,Nilai,in_stock,4.9,no,yes
P0087,Gucci Premium Frame 87,Frames,Designer Frames,Saint Laurent,782.74,Designer eyewear frame crafted with premium materials,acetate,square,brown,men,no,no,anti-reflective clear,aviator,single vision,blue light protection,1 year,no,Lalaport Bukit Bintang,Kuala Lumpur,in_stock,4.5,yes,no
P0088,Gucci Premium Frame 88,Frames,Designer Frames,Dior,822.12,Designer eyewear frame crafted with premium materials,acetate,square,brown,women,no,no,clear,oversized,single vision,anti-reflective coating,2 years,no,Lalaport Bukit Bintang,Kuala Lumpur,in_stock,4.6,yes,yes
P0089,Persol Premium Frame 89,Frames,Designer Frames,Versace,673.87,Designer eyewear frame crafted with premium materials,acetate,square,tortoise,men,no,no,clear,oversized,progressive,anti-reflective coating,1 year,yes,Aeon Mall Nilai,Nilai,low_stock,4.5,yes,no
P0090,Persol Premium Frame 90,Frames,Designer Frames,Acuvue,676.52,Designer eyewear frame crafted with premium materials,metal,cat-eye,gold,unisex,no,no,clear,aviator,single vision,anti-reflective coating,2 years,no,Mitsui Outlet Park,Sepang,low_stock,4.4,yes,yes
P0091,Gentle Monster Premium Frame 91,Frames,Designer Frames,Oliver Peoples,727.35,Designer eyewear frame crafted with premium materials,metal,rectangle,black,men,no,no,clear,square,plano,blue light protection,1 year,no,Mitsui Outlet Park,Sepang,in_stock,4.1,no,no
P0092,Acuvue Premium Frame 92,Frames,Designer Frames,RayBan,599.54,Designer eyewear frame crafted with premium materials,titanium,rectangle,black,unisex,no,no,light tint,aviator,single vision,blue light protection,1 year,no,Mitsui Outlet Park,Sepang,in_stock,4.4,yes,no
P0093,Bossini Premium Frame 93,Frames,Designer Frames,Gentle Monster,578.79,Designer eyewear frame crafted with premium materials,acetate,aviator,silver,women,no,no,clear,square,plano,scratch-resistant,2 years,no,Melawati Mall,Kuala Lumpur,low_stock,4.9,no,yes
P0094,Cartier Premium Frame 94,Frames,Designer Frames,Cartier,587.53,Designer eyewear frame crafted with premium materials,titanium,aviator,gold,unisex,no,no,clear,aviator,single vision,blue light protection,2 years,no,Aeon Mall Nilai,Nilai,low_stock,4.6,no,no
P0095,Saint Laurent Premium Frame 95,Frames,Designer Frames,RayBan,680.23,Designer eyewear frame crafted with premium materials,metal,round,brown,unisex,no,no,clear,oversized,plano,photochromic,2 years,no,Mitsui Outlet Park,Sepang,in_stock,4.6,yes,yes
P0096,Bausch & Lomb Premium Frame 96,Frames,Designer Frames,Persol,413.19,Designer eyewear frame crafted with premium materials,metal,cat-eye,gold,women,no,no,light tint,aviator,plano,anti-reflective coating,1 year,no,Melawati Mall,Kuala Lumpur,low_stock,4.0,no,no
P0097,Persol Premium Frame 97,Frames,Designer Frames,Gucci,449.77,Designer eyewear frame crafted with premium materials,acetate,cat-eye,silver,men,no,no,clear,oversized,plano,anti-reflective coating,1 year,no,Melawati Mall,Kuala Lumpur,in_stock,4.1,yes,no
P0098,Bossini Premium Frame 98,Frames,Designer Frames,Oakley,436.58,Designer eyewear frame crafted with premium materials,metal,aviator,brown,unisex,no,no,clear,aviator,plano,anti-reflective coating,2 years,no,Mitsui Outlet Park,Sepang,in_stock,4.1,yes,yes
P0099,Bossini Premium Frame 99,Frames,Designer Frames,Oliver Peoples,617.11,Designer eyewear frame crafted with premium materials,metal,rectangle,tortoise,men,no,no,clear,aviator,bifocal,scratch-resistant,1 year,yes,Melawati Mall,Kuala Lumpur,low_stock,4.4,no,no
P0100,Saint Laurent Premium Frame 100,Frames,Designer Frames,Versace,567.39,Designer eyewear frame crafted with premium materials,titanium,round,black,men,no,no,blue light filter clear,square,progressive,scratch-resistant,2 years,yes,Melawati Mall,Kuala Lumpur,in_stock,4.7,no,no
P0101,Bottega Veneta Premium Frame 101,Frames,Designer Frames,Gucci,623.56,Designer eyewear frame crafted with premium materials,metal,square,gold,women,no,no,blue light filter clear,oversized,bifocal,blue light protection,2 years,yes,Melawati Mall,Kuala Lumpur,low_stock,4.1,yes,no
P0102,Bossini Premium Frame 102,Frames,Designer Frames,Cartier,824.16,Designer eyewear frame crafted with premium materials,titanium,rectangle,brown,women,no,no,light tint,round,single vision,anti-reflective coating,2 years,no,Aeon Mall Nilai,Nilai,low_stock,4.1,yes,no
P0103,Bossini Premium Frame 103,Frames,Designer Frames,Persol,398.47,Designer eyewear frame crafted with premium materials,acetate,square,silver,unisex,no,no,clear,round,progressive,blue light protection,2 years,yes,Lalaport Bukit Bintang,Kuala Lumpur,in_stock,4.4,no,no
